price,beds,baths,average_rent,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,price_y,year,month,quarter,price_category_te,type_te,furnishing_te,completion_status_te,building_name_te,area_name_te,city_te
2800000,1,2,165818,2012,0,6,221,0,150.062335940326,2024,4,2,138.15815726569912,122.37778707057632,132.06339393006098,127.3908629629186,164.10782790362586,143.14712200987196,133.4713455545535
3650000,4,6,0,0,0,0,0,0,160.3843416850093,2023,12,4,163.41810795276115,148.7566013286269,132.02870312123673,135.08362094295796,132.65475570083052,141.1800644028148,133.7373114692438
2029998,2,3,96882,0,0,0,0,0,138.4069543465206,2024,2,1,138.1580288702424,122.43021015341043,132.14265682250962,127.47867440349752,132.63282854487807,124.2992489659588,133.5323446969761
1450000,3,4,0,0,0,0,0,0,127.1542999477728,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,117.52241354070681,131.9244965704809
1999000,2,4,166893,2011,0,17,1,0,137.87189041300016,2023,10,4,138.22067501009343,122.6693146374798,132.44936528280306,127.47067184865425,138.4527090273493,133.87164681644146,134.01337803947592
1600000,2,2,0,2011,0,2,3,0,130.35120986446273,2023,12,4,138.1580288702424,122.43021015341043,132.14265682250962,127.47867440349752,131.42731750300345,137.67039643385766,133.67336753417774
300000,2,2,31818,0,0,0,0,0,85.19871256074025,2024,4,2,109.24207207046047,122.37778707057632,127.13064872826803,127.3908629629186,132.52140208978395,89.84459802107273,112.82031718959601
700000,1,2,64724,2024,0,20,301,0,105.74963804254389,2024,1,1,109.19547218888867,122.49062797914426,127.77768367759731,127.38117836021159,116.12747919681104,119.99669175760498,133.60313587791276
504000,0,1,0,0,0,0,0,0,97.2731031224062,2024,4,2,109.19547218888867,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,119.86267273383294,131.64299689042448
3962000,1,2,0,0,0,0,0,0,163.71577023186586,2024,4,2,163.56997813733977,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,156.79370688841507,133.6791444548438
1650000,5,7,63002,0,0,0,0,0,131.36642832767888,2024,4,2,138.1580288702424,149.31040957054654,132.14265682250962,127.47867440349752,132.63282854487807,131.38552974259923,112.5098207925535
1350000,2,3,99391,0,0,0,0,0,124.88134599201997,2024,3,1,109.19547218888867,122.49062797914426,132.02870312123673,127.38117836021159,132.65475570083052,141.1800644028148,133.7373114692438
1388999,2,3,0,0,0,0,0,0,125.78243665464859,2024,4,2,138.1580288702424,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,117.97156959860409,131.55314579600633
650000,1,2,0,0,0,0,0,0,103.77750064097148,2024,2,1,109.24806721408295,122.6693146374798,132.44936528280306,127.47067184865425,132.87013357142845,106.73210524054642,134.01337803947592
375000,0,1,27791,0,0,0,0,0,90.20507187172731,2023,11,4,109.21627017889637,122.3290415905496,132.01512830839363,127.24426147864546,132.5119970957668,116.61919139736723,132.3612228182074
1467000,2,3,0,0,0,0,0,0,127.5288314495207,2024,4,2,138.1580288702424,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,124.76694739455024,131.55314579600633
1330200,4,5,0,0,0,0,0,0,124.41631005094003,2024,4,2,109.24207207046047,145.17171701424283,132.06339393006098,134.9521308553659,132.52140208978395,104.91335805144165,133.4713455545535
2030000,2,3,148905,0,0,0,0,0,138.40698866921412,2024,4,2,138.1580288702424,145.09728886157782,132.14265682250962,127.47867440349752,132.63282854487807,140.75147707073057,133.5323446969761
1500000,0,1,94628,2014,0,6,76,0,128.2466016070611,2024,2,1,138.2818313564658,122.49062797914426,127.77768367759731,127.38117836021159,127.97352619223904,141.31197262814348,133.60313587791276
2700000,3,4,0,0,0,0,0,0,148.69782329348976,2024,2,1,138.15815726569912,145.17171701424283,132.06339393006098,134.9521308553659,132.52140208978395,141.03541689973645,133.62286642297357
1200000,1,2,88575,0,0,0,0,0,121.22051503655142,2024,3,1,109.19547218888867,122.49062797914426,127.77768367759731,127.38117836021159,132.65475570083052,139.3314963782223,133.60313587791276
2410000,3,3,152575,0,0,0,0,0,144.51194953027232,2024,3,1,138.2818313564658,145.3676765508336,132.02870312123673,127.38117836021159,132.65475570083052,138.123816222487,133.60313587791276
1150000,2,3,0,0,0,0,0,0,119.92342744466798,2023,12,4,109.24806721408295,145.1564642236749,132.44936528280306,135.49426409689977,132.87013357142845,137.5875885679074,134.01337803947592
2300000,3,4,145712,0,0,0,0,0,142.82435143465744,2024,4,2,138.1580288702424,145.09728886157782,132.14265682250962,127.47867440349752,132.63282854487807,137.09370978380613,133.67336753417774
1148000,3,4,0,0,0,0,0,0,119.87066463310224,2024,4,2,109.24806721408295,149.26251221180993,132.44936528280306,135.49426409689977,132.87013357142845,105.70215208815343,134.01337803947592
6000000,4,5,0,0,0,0,0,0,181.63526647392513,2024,3,1,163.42022386241754,149.26251221180993,132.44936528280306,135.49426409689977,132.87013357142845,151.40460009019725,134.01337803947592
1429990,2,3,97548,0,0,0,0,0,126.70917944780527,2024,3,1,138.15815726569912,122.37778707057632,132.06339393006098,127.3908629629186,132.52140208978395,124.69458766148519,133.62286642297357
